Model,Precision,Recall,F1,ROC-AUC,Training_seconds
Logistic Regression,0.3522267206,0.8877551020,0.5043478261,0.9674231679,1.34
Random Forest,0.8000000000,0.8571428571,0.8275862069,0.9777826508,17.20
